"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"SV_76_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Halieaceae"	"Luminiphilus"	"(RS_GCF_000227505.1)"
"SV_77_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	NA	NA	NA
"SV_78_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillaceae"	"Puniceispirillum"	"Puniceispirillum_marinum(RS_GCF_000024465.1)"
"SV_79_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_80_Actinomycetales"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	"Aquiluna"	"Aquiluna_sp1(RS_GCF_000257665.1)"
"SV_81_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Roseovarius"	"(RS_GCF_000170875.1)"
"SV_82_Puniceispirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillaceae"	"Puniceispirillum"	"Puniceispirillum_marinum(RS_GCF_000024465.1)"
"SV_83_SAR86"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SAR86A"	"(GB_GCA_000252525.1)"
"SV_84_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_85_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Roseovarius"	"Roseovarius_nubinhibens(RS_GCF_000152625.1)"
"SV_86_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_87_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Leisingera"	"(RS_GCF_000813725.1)"
"SV_88_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_89_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MS024-2A"	"(RS_GCF_000173095.1)"
"SV_90_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Alteromonas"	"Alteromonas_sp1(RS_GCF_000753915.1)"
"SV_91_SAR86"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86"	"D2472"	"SAR86A"	"(GB_GCA_000252525.1)"
"SV_92_Actinomycetales"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	"UBA1487"	"(GB_GCA_002325245.1)"
